CUSTOMER_NUMBER,ANOMALY_PRED,ANOMALY_SCORE,EXPLANATION,TOP_SHAP_CONTRIBUTORS,TOP_INTERACTIONS,TRANS_LV1,TRANS_LV2,TRANS_DATE,DAY_OF_WEEK,TRANS_HOUR,TRANS_NO,TRANS_AMOUNT,CLIENT_SEX,CLIENT_CREATE_DATE,DATE_OF_BIRTH,STAFF,IB_REGISTER_DATE,EB_REGISTER_CHANNEL,SMS,VERIFY_METHOD,SUM_AMOUNT_24H,COUNT_24H,SUM_AMOUNT_7D,COUNT_7D,HIST_AVG_CA_BALANCE,HIST_AVG_TRANS_AMOUNT,HIST_TRANS_COUNT,BENFORD_DEV,ACTIVITY_SEQ_RARITY
88,1,0.6257071,"Flagged due to: unusual transaction sequence position (transaction number: 4), and high 24-hour transaction volume sum (51,651,430.00), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0).","TRANS_NO (+1.9678), SUM_AMOUNT_24H (+1.6267), HIST_TRANS_COUNT (+0.4350)","TRANS_NO × SUM_AMOUNT_24H (+0.8182), HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.3589), TRANS_NO × HIST_AVG_TRANS_AMOUNT (+0.3482)",Transfer,Outside_bank,2019-10-17,Thu,20,4,6115900.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,51651430.0,6,94366430.0,27,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,1.0,"Flagged due to: unusual transaction sequence position (transaction number: 6), and high 24-hour transaction volume sum (80,193,030.00), and amount is 6.1x higher than customer's average transaction size.","TRANS_NO (+2.6247), SUM_AMOUNT_24H (+1.7567), TRANS_AMOUNT_Z_SCORE (+0.7334)","TRANS_NO × SUM_AMOUNT_24H (+1.1439), TRANS_NO × TRANS_LV2 (+0.4094), TRANS_NO × TRANS_AMOUNT_Z_SCORE (-0.3620)",Transfer,Within_bank,2019-10-18,Fri,9,6,26841600.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,80193030.0,8,118012030.0,27,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,1.0,"Flagged due to: unusual transaction sequence position (transaction number: 6), and high 24-hour transaction volume sum (63,895,520.00), and high 24-hour transaction count (10 transfers).","TRANS_NO (+2.8578), SUM_AMOUNT_24H (+1.9222), COUNT_24H (+0.5612)","TRANS_NO × SUM_AMOUNT_24H (+1.1298), TRANS_NO × TRANS_LV2 (+0.4562), TRANS_NO × HIST_AVG_TRANS_AMOUNT (+0.4174)",Transfer,Within_bank,2019-10-19,Sat,9,6,9229520.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,63895520.0,10,143649950.0,31,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,1.0,"Flagged due to: unusual transaction sequence position (transaction number: 6), and high 24-hour transaction volume sum (52,984,600.00), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0).","TRANS_NO (+2.8921), SUM_AMOUNT_24H (+1.9388), HIST_TRANS_COUNT (+0.5237)","TRANS_NO × SUM_AMOUNT_24H (+1.1503), TRANS_NO × TRANS_LV2 (+0.4080), TRANS_NO × HIST_AVG_TRANS_AMOUNT (+0.3539)",Transfer,Within_bank,2019-10-19,Sat,10,6,12726680.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,52984600.0,11,159580630.0,33,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,1.0,"Flagged due to: unusual transaction sequence position (transaction number: 5), and high 24-hour transaction volume sum (53,477,000.00), and high 24-hour transaction count (12 transfers).","TRANS_NO (+2.5617), SUM_AMOUNT_24H (+1.8314), COUNT_24H (+0.4661)","TRANS_NO × SUM_AMOUNT_24H (+1.1311), TRANS_NO × HIST_TRANS_COUNT (+0.3269), TRANS_NO × HIST_AVG_TRANS_AMOUNT (+0.3266)",Transfer,Within_bank,2019-10-19,Sat,11,5,2968000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,53477000.0,12,162844630.0,35,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,0.8094541,"Flagged due to: unusual transaction sequence position (transaction number: 6), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0), and specific transaction type category (code: 12).","TRANS_NO (+2.5914), HIST_TRANS_COUNT (+0.4451), TRANS_LV2 (+0.4174)","TRANS_NO × TRANS_LV2 (+0.5402), TRANS_NO × SUM_AMOUNT_24H (+0.3947), TRANS_NO × HIST_AVG_TRANS_AMOUNT (+0.3519)",Transfer,Within_bank,2019-10-21,Mon,11,6,8421000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,17086440.0,5,181346270.0,39,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,0.5368018,"Flagged due to: unusual transaction sequence position (transaction number: 6), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0), and specific transaction type category (code: 12).","TRANS_NO (+2.3721), HIST_TRANS_COUNT (+0.4276), TRANS_LV2 (+0.4197)","TRANS_NO × TRANS_LV2 (+0.5130), TRANS_NO × HIST_TRANS_COUNT (+0.3408), TRANS_NO × HIST_AVG_TRANS_AMOUNT (+0.3156)",Transfer,Within_bank,2019-10-26,Sat,8,6,6101880.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,7701880.0,2,136330074.0,39,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,1.0,"Flagged due to: unusual transaction sequence position (transaction number: 6), and high 24-hour transaction volume sum (50,757,380.00), and high 24-hour transaction count (10 transfers).","TRANS_NO (+2.7377), SUM_AMOUNT_24H (+2.0636), COUNT_24H (+0.7056)","TRANS_NO × SUM_AMOUNT_24H (+1.1268), TRANS_NO × TRANS_LV2 (+0.4360), TRANS_NO × HIST_AVG_TRANS_AMOUNT (+0.4275)",Transfer,Within_bank,2019-10-31,Thu,15,6,9138500.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,50757380.0,10,76922080.0,21,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,0.7887383,"Flagged due to: high 24-hour transaction volume sum (58,229,380.00), and unusual transaction sequence position (transaction number: 3), and high 24-hour transaction count (11 transfers).","SUM_AMOUNT_24H (+1.7328), TRANS_NO (+0.7163), COUNT_24H (+0.6936)","TRANS_NO × SUM_AMOUNT_24H (+0.5475), HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.3570), COUNT_24H × VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.2635)",Transfer,Within_bank,2019-10-31,Thu,16,3,7472000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,58229380.0,11,81552640.0,21,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,0.89804614,"Flagged due to: amount is 8.6x higher than customer's average transaction size, and high 24-hour transaction volume sum (107,223,580.00), and high 24-hour transaction count (14 transfers).","TRANS_AMOUNT_Z_SCORE (+1.1475), SUM_AMOUNT_24H (+1.0035), COUNT_24H (+0.7313)","SUM_AMOUNT_24H × TRANS_AMOUNT_Z_SCORE (-0.5283), COUNT_24H × VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.4663), TRANS_NO × SUM_AMOUNT_24H (-0.3495)",Transfer,Outside_bank,2019-11-01,Fri,7,1,37439000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,107223580.0,14,136814840.0,26,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,0.82258636,"Flagged due to: amount is 6.9x higher than customer's average transaction size, and high 24-hour transaction volume sum (137,223,580.00), and sudden transaction volume spike (24h sum is 82.3% of 7d sum).","TRANS_AMOUNT_Z_SCORE (+1.0244), SUM_AMOUNT_24H (+0.9634), VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.7207)","SUM_AMOUNT_24H × TRANS_AMOUNT_Z_SCORE (-0.5566), COUNT_24H × VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.4663), TRANS_NO × SUM_AMOUNT_24H (-0.3397)",Transfer,Outside_bank,2019-11-01,Fri,8,1,30000000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,137223580.0,15,166814840.0,27,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,1.0,"Flagged due to: unusual transaction sequence position (transaction number: 7), and high 24-hour transaction volume sum (148,743,580.00), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0).","TRANS_NO (+2.6550), SUM_AMOUNT_24H (+2.2522), HIST_TRANS_COUNT (+0.7840)","TRANS_NO × SUM_AMOUNT_24H (+0.7131), HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.5314), COUNT_24H × VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.4612)",Transfer,Within_bank,2019-11-01,Fri,9,7,11520000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,148743580.0,16,178334840.0,28,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,0.8833358,"Flagged due to: high 24-hour transaction volume sum (141,385,680.00), and high 24-hour transaction count (16 transfers), and sudden transaction volume spike (24h sum is 75.1% of 7d sum).","SUM_AMOUNT_24H (+1.7924), COUNT_24H (+0.7333), VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.6089)","HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.5094), COUNT_24H × VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.4269), HIST_TRANS_COUNT × SUM_AMOUNT_24H (+0.3041)",Transfer,Outside_bank,2019-11-01,Fri,10,1,443850.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,141385680.0,16,188188690.0,30,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,1.0,"Flagged due to: unusual transaction sequence position (transaction number: 5), and high 24-hour transaction volume sum (141,385,680.00), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0).","TRANS_NO (+2.3447), SUM_AMOUNT_24H (+2.2318), HIST_TRANS_COUNT (+0.7567)","TRANS_NO × SUM_AMOUNT_24H (+0.6851), HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.5708), COUNT_24H × VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.4612)",Transfer,Within_bank,2019-11-01,Fri,10,5,9410000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,141385680.0,16,188188690.0,30,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,0.9078834,"Flagged due to: high 24-hour transaction volume sum (140,750,430.00), and high 24-hour transaction count (16 transfers), and sudden transaction volume spike (24h sum is 74.6% of 7d sum).","SUM_AMOUNT_24H (+1.7866), COUNT_24H (+0.7234), VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.6180)","HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.5105), COUNT_24H × VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.4269), HIST_TRANS_COUNT × SUM_AMOUNT_24H (+0.3040)",Transfer,Within_bank,2019-11-01,Fri,11,1,460000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,140750430.0,16,188648690.0,31,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,0.73382586,"Flagged due to: high 24-hour transaction volume sum (140,740,430.00), and high 24-hour transaction count (16 transfers), and sudden transaction volume spike (24h sum is 74.0% of 7d sum).","SUM_AMOUNT_24H (+1.7254), COUNT_24H (+0.7421), VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.6120)","HIST_AVG_TRANS_AMOUNT × SUM_AMOUNT_24H (+0.5317), COUNT_24H × VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.4298), HIST_TRANS_COUNT × SUM_AMOUNT_24H (+0.3040)",Transfer,Outside_bank,2019-11-01,Fri,12,1,1600000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,140740430.0,16,190248690.0,32,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,1.0,"Flagged due to: unusual transaction sequence position (transaction number: 4), and high 24-hour transaction volume sum (59,895,525.00), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 363.0).","TRANS_NO (+2.3474), SUM_AMOUNT_24H (+1.8797), HIST_TRANS_COUNT (+0.5187)","TRANS_NO × SUM_AMOUNT_24H (+0.9784), TRANS_NO × TRANS_LV2 (+0.3684), TRANS_NO × HIST_TRANS_COUNT (+0.3269)",Transfer,Within_bank,2019-11-05,Tue,9,4,16780000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,59895525.0,8,289456455.0,42,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,1.0,"Flagged due to: unusual transaction sequence position (transaction number: 5), and high 24-hour transaction volume sum (73,862,000.00), and amount is 8.6x higher than customer's average transaction size.","TRANS_NO (+2.1778), SUM_AMOUNT_24H (+1.6262), TRANS_AMOUNT_Z_SCORE (+0.9714)","TRANS_NO × SUM_AMOUNT_24H (+1.0990), SUM_AMOUNT_24H × TRANS_AMOUNT_Z_SCORE (-0.4828), TRANS_NO × TRANS_AMOUNT_Z_SCORE (-0.3617)",Transfer,Outside_bank,2019-11-06,Wed,9,5,37510000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,73862000.0,8,346538455.0,49,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,1.0,"Flagged due to: unusual transaction sequence position (transaction number: 5), and high 24-hour transaction volume sum (20,182,000.00), and specific transaction type category (code: 12).","TRANS_NO (+2.5096), SUM_AMOUNT_24H (+0.8556), TRANS_LV2 (+0.4832)","TRANS_NO × SUM_AMOUNT_24H (+0.7350), TRANS_NO × TRANS_LV2 (+0.5451), TRANS_NO × HIST_TRANS_COUNT (+0.3355)",Transfer,Within_bank,2019-11-07,Thu,16,5,6320000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,20182000.0,7,329523075.0,47,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,1.0,"Flagged due to: unusual transaction sequence position (transaction number: 6), and high 24-hour transaction volume sum (45,100,000.00), and amount is 9.6x higher than customer's average transaction size.","TRANS_NO (+2.3335), SUM_AMOUNT_24H (+1.3456), TRANS_AMOUNT_Z_SCORE (+1.0698)","TRANS_NO × SUM_AMOUNT_24H (+1.0900), SUM_AMOUNT_24H × TRANS_AMOUNT_Z_SCORE (-0.4591), TRANS_NO × TRANS_AMOUNT_Z_SCORE (-0.3889)",Transfer,Outside_bank,2019-11-27,Wed,8,6,42000000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,45100000.0,4,57883900.0,6,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,1.0,"Flagged due to: unusual transaction sequence position (transaction number: 14), and amount is 12.9x higher than customer's average transaction size, and high 24-hour transaction volume sum (56,520,000.00).","TRANS_NO (+2.1045), TRANS_AMOUNT_Z_SCORE (+1.8413), SUM_AMOUNT_24H (+1.5721)","TRANS_NO × SUM_AMOUNT_24H (+0.9983), TRANS_NO × TRANS_AMOUNT_Z_SCORE (-0.8752), SUM_AMOUNT_24H × TRANS_AMOUNT_Z_SCORE (-0.4763)",Transfer,Outside_bank,2019-12-09,Mon,11,14,56520000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,56520000.0,1,96520000.0,2,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
88,1,1.0,"Flagged due to: unusual transaction sequence position (transaction number: 8), and high 24-hour transaction volume sum (58,600,000.00), and amount is 11.6x higher than customer's average transaction size.","TRANS_NO (+1.9934), SUM_AMOUNT_24H (+1.5349), TRANS_AMOUNT_Z_SCORE (+1.3406)","TRANS_NO × SUM_AMOUNT_24H (+1.0285), TRANS_NO × TRANS_AMOUNT_Z_SCORE (-0.8646), SUM_AMOUNT_24H × TRANS_AMOUNT_Z_SCORE (-0.4224)",Transfer,Outside_bank,2019-12-25,Wed,10,8,50600000.0,F,2019-07-15,1997-07-05,0,2019-09-03,BRANCH,1,SMART_OTP,58600000.0,3,61280000.0,11,8844481.102,4369996.853994491,363,0.03889746598194542,-1.4605406202256965
331,1,1.0,"Flagged due to: highly improbable sequential activity pattern (log-probability score: -3.095), and transaction occurred at off-hour (9:00), and significant transaction amount digit deviation from Benford's Law (score: 0.0000).","ACTIVITY_SEQ_RARITY (+4.5056), TRANS_HOUR (+0.3418), BENFORD_DEV (+0.3364)","TRANS_HOUR × ACTIVITY_SEQ_RARITY (+0.5986), TENURE_DAYS × ACTIVITY_SEQ_RARITY (+0.2781), TRANS_NO × ACTIVITY_SEQ_RARITY (-0.2111)",Transfer,Outside_bank,2019-03-06,Wed,9,2,12000000.0,M,2019-01-16,1992-01-07,0,2019-01-25,BRANCH,1,SMS,12000000.0,1,12000000.0,1,3490298.725,6480000.0,3,0.0,-3.09494562650896
331,1,1.0,"Flagged due to: highly improbable sequential activity pattern (log-probability score: -3.095), and significant transaction amount digit deviation from Benford's Law (score: 0.0000), and unusual activity in feature 'HIST_TRANS_COUNT' (value: 3.0).","ACTIVITY_SEQ_RARITY (+4.5449), BENFORD_DEV (+0.3879), HIST_TRANS_COUNT (+0.3229)","SUM_AMOUNT_24H × ACTIVITY_SEQ_RARITY (+0.6543), TENURE_DAYS × ACTIVITY_SEQ_RARITY (+0.3922), HIST_TRANS_COUNT × SUM_AMOUNT_24H (+0.2755)",Transfer,Outside_bank,2019-03-13,Wed,12,1,440000.0,M,2019-01-16,1992-01-07,0,2019-01-25,BRANCH,1,SMS,440000.0,1,440000.0,1,3490298.725,6480000.0,3,0.0,-3.09494562650896
331,1,1.0,"Flagged due to: highly improbable sequential activity pattern (log-probability score: -3.095), and significant transaction amount digit deviation from Benford's Law (score: 0.0000), and transaction occurred at off-hour (10:00).","ACTIVITY_SEQ_RARITY (+4.5660), BENFORD_DEV (+0.3691), TRANS_HOUR (+0.3331)","TRANS_HOUR × ACTIVITY_SEQ_RARITY (+0.5978), TENURE_DAYS × ACTIVITY_SEQ_RARITY (+0.2566), BENFORD_DEV × VERIFY_METHOD (+0.2338)",Transfer,Within_bank,2019-03-19,Tue,10,1,7000000.0,M,2019-01-16,1992-01-07,0,2019-01-25,BRANCH,1,SMS,7000000.0,1,7440000.0,2,3490298.725,6480000.0,3,0.0,-3.09494562650896
386,1,1.0,"Flagged due to: high 24-hour transaction volume sum (380,550,000.00), and amount is 22.6x higher than customer's average transaction size, and sudden transaction volume spike (24h sum is 99.2% of 7d sum).","SUM_AMOUNT_24H (+2.9606), TRANS_AMOUNT_Z_SCORE (+1.8578), VELOCITY_RATIO_AMOUNT_24H_VS_7D (+0.2711)","SUM_AMOUNT_24H × TRANS_AMOUNT_Z_SCORE (-0.9766), TRANS_AMOUNT_Z_SCORE × EB_REGISTER_CHANNEL (-0.1632), TRANS_AMOUNT_Z_SCORE × TRANS_LV1 (-0.1557)",Transfer,Within_bank,2019-10-21,Mon,9,1,380000000.0,F,2019-08-12,1989-04-24,0,2019-08-12,BRANCH,1,SMART_OTP,380550000.0,2,383615000.0,5,114440623.53400001,16809085.8,70,0.0613514461431119,-1.1726365957821143
